id,nama,jenis_node
39868583,GIDODUDADUGODUGI,Badan
39717143,GIDODIGADIGAGEGI,Badan
40505376,GE GO GOGIDIDA,Badan
49456681,GEDOGEGODADADUGA,LN
40841492,GE DUGEGAGEDOGU,Badan
40182082,GE GADUGU DUGU,Badan
40729701,GE DIGUDODI GA,Badan
39520818,GIDOGOGU DUGADU,Badan
40517044,GE GOGADI GEGE,Badan
40950112,GE DOGO GAGAGU,Badan
39632737,GIDODAGIGUDIGIDI,Badan
40474564,GE GEDIGEGODAGE,Badan
40485205,GE GEDUGOGU GO,Badan
39892610,GIDODUDOGUDAGA ,Badan
40601658,GE DA GADAGODU,Badan
39972432,GIDODODIGUGEGIGU,Badan
40407716,GE GE DIDIGADA,Badan
40384391,GE GIDUGEGIDOGA,Badan
40775716,GE DIDIGODIGADA,Badan
39970008,GIDODODI   DU,Badan
40983417,GE DODUGIGEGADI,Badan
39955271,GIDODOGOGOGUDIGA,Badan
40512025,GE GOGAGU GUGO,Badan
40989039,GE DODUDO GIDO,Badan
40746163,GE DIGEDAGADAGI,Badan
40679833,GE DADIDODUGIGI,Badan
39982219,GIDODODUGUGUGADO,Badan
40309259,GE GI DOGUGODO,Badan
40860375,GE DUDA GIDIGO,Badan
40842554,GE DUGEGUGOGOGE,Badan
40931643,GE DOGIGADAGEGI,Badan
39607917,GIDODA DIDOGADI,Badan
40135678,GE GAGIGODADIDU,Badan
40192859,GE GADOGUDUGODO,Badan
39923419,GIDODOGUGIGEGADO,Badan
40383024,GE GIDUGI GUGE,Badan
39823384,GIDODUGUGIGIDUGE,Badan
39683490,GIDODADUGIGEDO ,Badan
39996131,GIDODODODAGAGIGA,Badan
40083578,GE  DUGIGODIDU,Badan
40183137,GE GADUGIGAGIDI,Badan
39692561,GIDODADOGUGODAGA,Badan
40305852,GE GI GODUGOGU,Badan
39496769,GIDOGEDODADIDADO,Badan
40162662,GE GADAGUDADAGU,Badan
44703864,GEGEDI GIDUDAGE,OP
48819961,GEDUDUGADODODAGA,Non NPWP
40068390,GE  DADUGIDO ,Badan
40034136,GE  GIGEGAGIDA,Badan
40264147,GE GUDAGEGAGEDI,Badan
49466807,GEDOGEDADADU DI,LN
40748303,GE DIGEDUGI GI,Badan
40943021,GE DOGEGI GUGA,Badan
40598722,GE GODODUDIGUGU,Badan
40948838,GE DOGEDUDUGIDU,Badan
40660782,GE DADA DIDUGU,Badan
40703315,GE DI GIGIGAGO,Badan
40529035,GE GOGUDO GIGO,Badan
39877823,GIDODUDIDIDUGUGI,Badan
40597344,GE GODODIGIGEGE,Badan
39737277,GIDODIGIDIGUDIDI,Badan
40324429,GE GIGUGEGEGUDO,Badan
40554664,GE GOGOGEDADAGE,Badan
44455273,GEGEGEGOGOGUDIGI,OP
41005919,GEGA  GODOGADO,OP
40987277,GE DODUDIGUDIDI,Badan
43299869,GEGIGUDODODUDADO,OP
40055257,GE  GOGOGUGODI,Badan
44508011,GEGEGO DU GAGA,OP
49440945,GEDOGEGE DOGEGO,LN
44534962,GEGEGOGIGEDODAGU,OP
41389543,GEGAGIDUDOGOGEGI,OP
42518392,GEGUGOGADUGIDOGU,OP
42469749,GEGUGEDADODIGEDO,OP
42633051,GEGUDAGIGI GOGA,OP
40218681,GE GUGADUDADUGA,Badan
43183509,GEGIGADUGIGO DO,OP
41898112,GEGADUDODUGAGAGU,OP
44820313,GEGEDUGU GIGAGI,OP
44372236,GEGEGIDIGUGUGIDA,OP
43561031,GEGIGODAGA GIGA,OP
